Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock,Product Sub Group,Product Group
36JR0310,SET SEAT COWL DCL RACING RED,,168,,,121.03,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JR0311,SET DECAL FENDER P M WHITE,,58,,,41.78,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0312,SET DECAL FENDER E BLACK,,58,,,41.78,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0313,SET DECAL FENDER RACING RED,,58,,,41.78,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0314,SET DECAL FENDER HARBOR GREY,,58,,,41.78,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0315,Accessory kit-Pulsar N160 SD/TD,,976,,,703.11,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JR0317,SET SPRING COMPRESSION CLUTCH,,76,,,54.75,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,73209090,,,
36JR0320,SET DCL N 160 POLAR SKY BLUE,,168,,,121.03,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0321,SET DCL N 160 B BLK GLOSSY,,168,,,121.03,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0322,SET DECAL FAIRING FR B BLK C BLK,,101,,,72.76,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0323,SET DCL FAIRING FRONT R RED,,105,,,75.64,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0324,SET DCL FAIRING FR HARBOR GREY,,98,,,70.60,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0325,SET DCL FAIRING FRONT P M WHITE,,99,,,71.32,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0326,SET DCL FENDER B BLACK G,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0328,SET DCL TANK TOP H GREY,,205,,,147.68,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0329,SET DCL TANK TOP P M WHITE,,206,,,148.40,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0330,SET DCL TANK TOP R RED,,206,,,148.40,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0331,SET DCL TANK FAIRING R RED LH,,293,,,211.08,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0332,SET DCL TANK FAIRING R RED RH,,293,,,211.08,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0333,SET DCL TANK FAIRING B BLK LH,,282,,,203.15,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0334,SET DCL TANK FAIRING B BLK RH,,282,,,203.15,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0335,SET DCL TANK FAIRING GREY LH,,272,,,195.95,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0336,SET DCL TANK FAIRING GREY RH,,272,,,195.95,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0337,SET DCL TANK FAIRING WHITE LHP,,269,,,193.79,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0338,SET DCL TANK FAIRING WHITE RH,,269,,,193.79,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0339,SET DCL BELLY PAN B C BLK LH,,90,,,64.84,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0340,SET DCL BELLY PAN R RED LH,,91,,,65.56,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0341,SET DCL BELLY PAN H GREY LH,,88,,,63.40,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0342,SET DCL BELLY PAN P M WHITE LH,,88,,,63.40,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0343,SET DCL BELLY PAN B C BLK RH,,84,,,60.51,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0344,SET DCL BELLY PAN RACING RED RH,,86,,,61.95,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0345,SET DCL BELLY PAN H GREY RH,,82,,,59.07,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0346,SET DCL BELLY PAN P M WHITE RH,,83,,,59.79,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0347,SET DCL COWL SEAT B BLACK,,143,,,103.02,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0348,SET DCL COWL SEAT R RED,,148,,,106.62,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0349,SET DCL COWL SEAT H GREY,,138,,,99.42,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0350,SET DCL COWL SEAT P M WHITE,,139,,,100.14,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JR0351,SET DCL COWL SEAT T B BLACK,,85,,,61.23,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JU0001,KIT RING SET KTM 200,,257,,,185.14,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,84099113,,,
36JU0002,KIT FRIC PLATES KTM 200,,1128,,,812.61,,1,18,BAJAJ,BAJAJ,,,,COM,,,,,,,,84099199,,,
36JU0014,FUEL TANK ASSLY COMP 125-200 EXP,,2886,,,2079.07,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JU0015,KIT KTM 200 8AH BATTERY,,2701,,,1945.80,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,85071000,,,
36JU0019,Kit Fork Oil seal,,463,,,333.55,,1,10,BAJAJ,BAJAJ,,,,COM,,,,,,,,40169330,,,
36JU0036,KIT CRANK SHAFT ASSLY,,4551,,,3278.54,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,84831091,,,
36JU0071,KIT CHAIN SPROCKET DUKE 200,,2324,,,1674.21,,1,5,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JU0075,KIT STEERING RACE LOWER JU/JY,,218,,,157.05,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JU0085,SHIM 2.02 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87149290,,,
36JU0086,SHIM 2.06 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87149290,,,
36JU0087,SHIM 2.10 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JU0088,SHIM 2.14 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JU0089,SHIM 2.18 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JU0091,SHIM 2.26 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JU0092,SHIM 2.30 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JU0101,SHIM 2.66 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JU0108,SHIM 2.94 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87149290,,,
36JU0109,SHIM 2.98 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87149290,,,
36JU0110,SHIM 3.02 MM,,35,,,25.21,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87149290,,,
36JU0114,KIT FRONT BRAKE PAD WITH SHIM,,413,,,297.53,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JU0136,CLUTCH HOUSING ASSLY KIT,,1230,,,886.09,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87089300,,,
36JU0142,KIT BRAKE HOSE FR ABS TO CALIPER,,1495,,,1077.00,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87141090,,,
36JV0002,KIT COVER SIDE DECAL ELECTRON BLUE BM125,,93,,,67.00,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,39199010,,,
36JV0006,VALVE REPAIR KIT BM125,,225,,,162.09,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JV0007,KIT CHAIN GUIDE BM125,,109,,,78.52,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JV0012,KIT CYL BLOCK PISTON ASSLY,,1958,,,1410.54,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,84099191,,,
36JV0014,KIT TANK DCL E BLACK,,412,,,296.80,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JV0015,KIT TANK DCL P RED,,412,,,296.80,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JV0020,KIT JET- BM-125,,254,,,182.98,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JV0024,PISTON VALVE ASSY KIT,,308,,,221.88,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JV0025,KIT TANK DECAL BRIGHT YELLOW,,481,,,346.51,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JV0026,KIT FAIRING DECAL BRIGHT YELLOW,,57,,,41.06,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,39199090,,,
36JV0044,KIT CYL BLOCK PISTON ASSLY BLACK,,2390,,,1721.76,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,84099914,,,
36JV0047,KIT CYL BLOCK PISTON ASSLY,,2399,,,1728.24,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,84099914,,,
36JW0009,KIT CHAIN GUIDE XCD,,101,,,72.76,,1,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,40169990,,,
36JW0010,KIT SET PISTON RING XCD 1,,227,,,163.53,,1,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JW0011,KIT CHAIN SPROCKET X,,1138,,,819.82,,1,10,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JW0012,KIT CHAIN CASE XCD 135 CC,,677,,,487.71,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JW0013,KIT HWARE LG SCD 135,,33,,,23.77,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,73181500,,,
36JW0017,KIT STARTER CLUTCH REPAIR XCD135,,115,,,82.85,,1,1,BAJAJ,BAJAJ,,,,2W,,,,,,,,87141090,,,
36JY0029,KIT SHIM 2 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0030,KIT SHIM 2.04 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0031,KIT SHIM 2.08 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0032,KIT SHIM 2.12 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0033,KIT SHIM 2.16 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0034,KIT SHIM 2.20 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0035,KIT SHIM 2.24 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0036,KIT SHIM 2.28 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0037,KIT SHIM 2.32 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0038,KIT SHIM 2.36 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0039,KIT SHIM 2.40 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0040,KIT SHIM 2.44 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0041,KIT 2.48 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0042,KIT SHIM 2.52 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0043,KIT SHIM 2.56 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0044,KIT SHIM 2.60 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0045,KIT 2.64 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0046,KIT SHIM 2.68 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0047,KIT 2.72 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0048,KIT SHIM 2.76 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0049,KIT SHIM 2.80 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0050,KIT SHIM 2.84 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0051,KIT SHIM 2.88 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
36JY0052,KIT SHIM 2.92 MM,,40,,,28.82,,1,1,BAJAJ,BAJAJ,,,,COM,,,,,,,,87149290,,,
