Material,Material2,LIST PRICE,MRP PRICE,TYPE,FINISH,billing price,STOCK,Box Qty,Carton,brand,Make,Model,Year Start,Year End,Segment,Single Video URL,Multiple Media(semicolon-separated,most_selling,sales_volume,sales_value,zone,region,hsn,kolkata stock
A5P32000,GEARBOX-S6-36-8.08R-OD-FS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P32200,GEAR BOX ASSEMBLY ASSY OF ZF S6.362 8.9,,138590,16,,116415.6,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87089900,
A5P33900,GEARBOX-S6-36-6.93R-OD-FS T120,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P34000,GEARBOX-S5-36-6.5R-FS 120S,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P34100,GEARBOX-S5-36-6.5R-FS 120S,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P35700,ASSLY OF R.M.P.T.O IN GEAR BOX,,169770,16,,142606.8,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P35800,GEARBOX-S6-36-8.28R-OD-FS T120,,134130,16,,112669.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P36200,GEAR BOX ASSEMBLY ASSY OF ZF 6S850 8.51,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P36500,ASSY OF ZF S6362 6.93 OD GB HSERIES EN,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P37400,Gear Box Assy-S36 MK2 6.93 OD Ratio,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P37600,GEARBOX-S6-36-6.93R-OD-FS T120-LHD,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P38500,GEARBOX-9S1110-12.73R-FS T180-CAB CSO,,249750,16,,209790,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P39000,ASSY OF 6 SPEED EATON GB ES9306A 9.01 F,,293230,16,,246313.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P39400,GEAR BOX ASSEMBLY ASSY OF ZF S636 8.97,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P39700,GEARBOX-S6-36-8.97R-FS T150,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P40100,GEARBOX-S5-36-7.2R-FS 1500,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P40400,GEARBOX-S5-36-6.5R-FS 1500,,134130,16,,112669.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P41000,GEARBOX-S5-36-7.2R-FS 1500,,134130,16,,112669.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P41200,ASSY OF ZF S636 2B 6.93 OD GEARBOX HS,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P41400,ZF 6S OD Gearbox 8.28 FGR 1.25 INCH IN,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P41500,GEAR BOX ASSEMBLY ZF 6S OD Gearbox 8.28,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P41600,ZF 6S OD Gearbox 6.93 FGR 0.728 OD 1.2,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P41800,ASSY OF ZF S636 8.97 FGR GB 17MM IPS,,161880,16,,135979.2,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
A5P42100,ASSY OF 5 SPEED OD GEARBOX 5.96 FGR 1,,153550,16,,128982,,1,,LEYPARTS,ASHOK LEYLAND,,,,,,,,,,,,87084000,
